                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.62248,                0.66654,                 1.2867,                0.75319,                0.87073,                0.87601,                0.65923,                0.84581,                 1.0623,                 1.7223,             0.00095507,             0.00095507,             0.00095507
                     69,                0.56244,                0.63689,                 1.2524,                0.70834,                 0.8367,                0.84502,                0.63971,                 0.7699,                0.92601,                 1.5917,               0.000948,               0.000948,               0.000948
                     70,                0.62457,                0.68298,                 1.3073,                0.80949,                 0.8284,                0.86169,                0.67473,                0.76229,                0.88146,                  1.583,             0.00094093,             0.00094093,             0.00094093
                     71,                0.62686,                 0.6926,                 1.3021,                 0.8859,                0.88382,                0.89599,                0.68921,                0.74188,                0.83278,                 1.5759,             0.00093385,             0.00093385,             0.00093385
                     72,                0.58055,                0.64837,                 1.2571,                0.84543,                0.84802,                 0.9034,                0.67546,                0.75773,                0.87562,                  1.628,             0.00092678,             0.00092678,             0.00092678
                     73,                0.60223,                0.69578,                 1.2916,                0.82254,                 0.9037,                0.87468,                 0.7029,                0.70613,                 0.8586,                 1.5673,              0.0009197,              0.0009197,              0.0009197
                     74,                 0.6303,                0.62272,                 1.3152,                 0.8181,                  0.896,                0.87812,                0.67449,                0.73926,                0.81652,                 1.5848,             0.00091263,             0.00091263,             0.00091263
                     75,                0.61338,                0.71101,                 1.3188,                0.80672,                0.88476,                0.87745,                0.65048,                0.71376,                0.83653,                 1.5124,             0.00090556,             0.00090556,             0.00090556
                     76,                0.60388,                 0.6439,                 1.2653,                0.87227,                0.91944,                0.88903,                0.69347,                 0.6984,                0.81131,                  1.517,             0.00089848,             0.00089848,             0.00089848
                     77,                0.58229,                0.63856,                 1.2908,                0.79586,                0.94444,                 0.8921,                0.65883,                0.76525,                0.80622,                 1.5925,             0.00089141,             0.00089141,             0.00089141
                     78,                0.59613,                0.62779,                 1.2573,                0.82163,                0.89272,                0.89431,                0.70201,                0.73433,                0.76284,                 1.5264,             0.00088434,             0.00088434,             0.00088434
                     79,                 0.5467,                0.60933,                 1.2441,                0.78367,                0.84097,                0.84335,                 0.6368,                0.72875,                0.88161,                 1.5132,             0.00087726,             0.00087726,             0.00087726
                     80,                0.59276,                0.64518,                 1.2754,                0.71401,                      1,                0.87134,                0.69496,                0.72221,                0.74439,                 1.5129,             0.00087019,             0.00087019,             0.00087019
                     81,                0.56984,                0.64622,                 1.2486,                0.86186,                0.89061,                0.90391,                0.71957,                0.71906,                0.65101,                 1.5151,             0.00086312,             0.00086312,             0.00086312
                     82,                0.60715,                0.66813,                 1.2693,                0.79191,                0.99558,                0.90175,                0.68887,                0.84061,                0.73284,                 1.6709,             0.00085604,             0.00085604,             0.00085604
                     83,                0.61638,                  0.701,                 1.2764,                0.83029,                0.91242,                0.88819,                0.67252,                0.76414,                0.73834,                 1.5731,             0.00084897,             0.00084897,             0.00084897
                     84,                0.57755,                0.65206,                  1.273,                0.90773,                0.95569,                0.92068,                0.68929,                0.72323,                0.73553,                 1.4985,              0.0008419,              0.0008419,              0.0008419
                     85,                0.56135,                0.57166,                 1.2479,                 0.6643,                0.73528,                0.76469,                0.61134,                0.75945,                   1.52,                 1.6266,             0.00083482,             0.00083482,             0.00083482
                     86,                0.58398,                0.60618,                 1.2601,                0.78217,                0.80729,                0.88566,                0.68786,                0.74064,                0.99577,                 1.5659,             0.00082775,             0.00082775,             0.00082775
                     87,                0.55131,                0.58048,                 1.2224,                 0.8253,                0.90475,                 0.9091,                0.67737,                0.74423,                0.82982,                 1.5201,             0.00082067,             0.00082067,             0.00082067
                     88,                0.58161,                 0.6257,                 1.2526,                 0.7824,                0.88889,                0.85164,                0.62783,                0.79835,                0.89372,                 1.5911,              0.0008136,              0.0008136,              0.0008136
                     89,                0.56756,                0.61285,                 1.2425,                 0.7696,                0.83194,                0.83701,                0.63979,                0.78496,                0.93424,                 1.5929,             0.00080653,             0.00080653,             0.00080653
                     90,                0.55911,                0.57275,                 1.2363,                0.81122,                0.96667,                0.88741,                0.68762,                0.65003,                 0.8072,                 1.4464,             0.00079945,             0.00079945,             0.00079945
